time,open,high,low,close
2013-12-11T00:00:00Z,1.64556,1.64571,1.63385,1.63745
2013-12-12T00:00:00Z,1.63745,1.63773,1.6352,1.63599
2013-12-12T04:00:00Z,1.63599,1.63967,1.63574,1.63963
2013-12-12T08:00:00Z,1.63963,1.64173,1.63868,1.64009
2013-12-12T12:00:00Z,1.64009,1.64148,1.63206,1.63242
2013-12-12T16:00:00Z,1.63242,1.63493,1.63202,1.63456
2013-12-12T20:00:00Z,1.63456,1.63544,1.6337,1.63376
2013-12-13T00:00:00Z,1.63376,1.63593,1.63351,1.63504
2013-12-13T04:00:00Z,1.63504,1.63504,1.63275,1.6331
2013-12-13T08:00:00Z,1.6331,1.63479,1.62699,1.62713
2013-12-13T12:00:00Z,1.62713,1.62976,1.62616,1.62758
2013-12-13T16:00:00Z,1.62758,1.62963,1.62747,1.62917
2013-12-13T20:00:00Z,1.62917,1.63073,1.62836,1.62974
2013-12-16T00:00:00Z,1.62974,1.63483,1.62887,1.62974
2013-12-17T00:00:00Z,1.62974,1.63193,1.62961,1.63147
2013-12-17T04:00:00Z,1.63147,1.63263,1.63134,1.63149
2013-12-17T08:00:00Z,1.63149,1.63353,1.62582,1.62586
2013-12-17T12:00:00Z,1.62586,1.62911,1.62188,1.62403
2013-12-17T16:00:00Z,1.62403,1.62803,1.6231,1.62635
2013-12-17T20:00:00Z,1.62635,1.62745,1.62595,1.6274
2013-12-18T00:00:00Z,1.6274,1.62873,1.62713,1.62837
2013-12-18T04:00:00Z,1.62837,1.62963,1.62792,1.62813
2013-12-18T08:00:00Z,1.62813,1.63692,1.62731,1.63542
2013-12-18T12:00:00Z,1.63542,1.64035,1.63496,1.63903
2013-12-18T16:00:00Z,1.63903,1.64836,1.63417,1.64281
2013-12-18T20:00:00Z,1.64281,1.64329,1.63644,1.63825
2013-12-19T00:00:00Z,1.63825,1.63953,1.63648,1.63711
2013-12-19T04:00:00Z,1.63711,1.63808,1.63697,1.63797
2013-12-19T08:00:00Z,1.63797,1.63875,1.63603,1.63703
2013-12-19T12:00:00Z,1.63703,1.63876,1.63349,1.63638
2013-12-19T16:00:00Z,1.63638,1.63893,1.63597,1.63712
2013-12-19T20:00:00Z,1.63712,1.63783,1.6357,1.63643
2013-12-20T00:00:00Z,1.63643,1.63708,1.63494,1.63689
2013-12-20T04:00:00Z,1.63689,1.63689,1.63257,1.63379
2013-12-20T08:00:00Z,1.63379,1.63661,1.63177,1.63361
2013-12-20T12:00:00Z,1.63361,1.63941,1.63151,1.63534
2013-12-20T16:00:00Z,1.63534,1.63713,1.63248,1.63333
2013-12-20T20:00:00Z,1.63333,1.63433,1.63152,1.63282
2013-12-23T00:00:00Z,1.63282,1.63598,1.6328,1.63416
2013-12-23T04:00:00Z,1.63416,1.63723,1.63411,1.63629
2013-12-23T08:00:00Z,1.63629,1.63743,1.63395,1.6357
2013-12-23T12:00:00Z,1.6357,1.63723,1.63283,1.63553
2013-12-23T16:00:00Z,1.63553,1.63653,1.63439,1.63479
2013-12-23T20:00:00Z,1.63479,1.63603,1.63374,1.63481
2013-12-24T00:00:00Z,1.63481,1.63573,1.63321,1.63515
2013-12-24T04:00:00Z,1.63515,1.63537,1.63343,1.63467
2013-12-24T08:00:00Z,1.63467,1.63742,1.63214,1.63592
2013-12-24T12:00:00Z,1.63592,1.63805,1.63572,1.6375
2013-12-24T16:00:00Z,1.6375,1.63773,1.63626,1.63663
2013-12-24T20:00:00Z,1.63663,1.63673,1.63655,1.63655
2013-12-25T00:00:00Z,1.63655,1.63655,1.63655,1.63655
2013-12-25T04:00:00Z,1.63655,1.63655,1.63655,1.63655
2013-12-25T08:00:00Z,1.63655,1.63655,1.63655,1.63655
2013-12-25T12:00:00Z,1.63655,1.63655,1.63655,1.63655
2013-12-25T16:00:00Z,1.63655,1.63655,1.63655,1.63655
2013-12-25T20:00:00Z,1.63655,1.63655,1.63655,1.63655
2013-12-26T00:00:00Z,1.63655,1.63655,1.63655,1.63655
2013-12-26T04:00:00Z,1.63655,1.63655,1.63655,1.63655
2013-12-26T08:00:00Z,1.63655,1.63853,1.63655,1.6382
2013-12-26T12:00:00Z,1.6382,1.64363,1.6382,1.64251
2013-12-26T16:00:00Z,1.64251,1.64283,1.64077,1.64187
2013-12-26T20:00:00Z,1.64187,1.6419,1.64013,1.64112
2013-12-27T00:00:00Z,1.64112,1.64455,1.64045,1.64396
2013-12-27T04:00:00Z,1.64396,1.64756,1.64331,1.64743
2013-12-27T08:00:00Z,1.64743,1.6577,1.64735,1.65383
2013-12-27T12:00:00Z,1.65383,1.65458,1.64911,1.64937
2013-12-27T16:00:00Z,1.64937,1.64998,1.64568,1.64572
2013-12-27T20:00:00Z,1.64572,1.64993,1.64572,1.64784
2013-12-30T00:00:00Z,1.64784,1.64884,1.64703,1.64753
2013-12-30T04:00:00Z,1.64753,1.64963,1.64667,1.64905
2013-12-30T08:00:00Z,1.64905,1.65002,1.64592,1.64667
2013-12-30T12:00:00Z,1.64667,1.65286,1.64605,1.6525
2013-12-30T16:00:00Z,1.6525,1.65323,1.65105,1.65191
2013-12-30T20:00:00Z,1.65191,1.65198,1.64847,1.64916
2013-12-31T00:00:00Z,1.64916,1.64973,1.64768,1.64776
2013-12-31T04:00:00Z,1.64776,1.65272,1.64737,1.65271
2013-12-31T08:00:00Z,1.65271,1.65445,1.64993,1.65237
2013-12-31T12:00:00Z,1.65237,1.65662,1.65237,1.656
2013-12-31T16:00:00Z,1.656,1.65773,1.65471,1.65573
2013-12-31T20:00:00Z,1.65573,1.65793,1.65573,1.65603
2014-01-01T00:00:00Z,1.65603,1.65603,1.65603,1.65603
2014-01-01T04:00:00Z,1.65603,1.65603,1.65603,1.65603
2014-01-01T08:00:00Z,1.65603,1.65603,1.65603,1.65603
2014-01-01T12:00:00Z,1.65603,1.65603,1.65603,1.65603
2014-01-01T16:00:00Z,1.65603,1.65603,1.65603,1.65603
2014-01-01T20:00:00Z,1.65603,1.65906,1.65563,1.65727
2014-01-02T00:00:00Z,1.65727,1.65889,1.65683,1.65861
2014-01-02T04:00:00Z,1.65861,1.66027,1.65653,1.65749
2014-01-02T08:00:00Z,1.65749,1.65826,1.65253,1.65253
2014-01-02T12:00:00Z,1.65253,1.65254,1.64088,1.64348
2014-01-02T16:00:00Z,1.64348,1.64493,1.64203,1.64214
2014-01-02T20:00:00Z,1.64214,1.64523,1.64212,1.64483
2014-01-03T00:00:00Z,1.64483,1.64583,1.64205,1.64334
2014-01-03T04:00:00Z,1.64334,1.64561,1.64277,1.64504
2014-01-03T08:00:00Z,1.64504,1.64733,1.643,1.64614
2014-01-03T12:00:00Z,1.64614,1.64623,1.63949,1.64423
2014-01-03T16:00:00Z,1.64423,1.64437,1.64118,1.64208
2014-01-03T20:00:00Z,1.64208,1.64223,1.63972,1.641
2014-01-06T00:00:00Z,1.641,1.64135,1.63509,1.63639
2014-01-06T04:00:00Z,1.63639,1.63793,1.63472,1.63503
2014-01-06T08:00:00Z,1.63503,1.63883,1.63367,1.63768
2014-01-06T12:00:00Z,1.63768,1.64329,1.63725,1.64096
2014-01-06T16:00:00Z,1.64096,1.64198,1.63927,1.64034
2014-01-06T20:00:00Z,1.64034,1.64188,1.63975,1.64122
2014-01-07T00:00:00Z,1.64122,1.64154,1.63916,1.63969
2014-01-07T04:00:00Z,1.63969,1.64033,1.63835,1.63869
2014-01-07T08:00:00Z,1.63869,1.64374,1.6376,1.64083
2014-01-07T12:00:00Z,1.64083,1.64243,1.63732,1.63971
2014-01-07T16:00:00Z,1.63971,1.64312,1.63947,1.6407
2014-01-07T20:00:00Z,1.6407,1.64083,1.63942,1.63983
2014-01-08T00:00:00Z,1.63983,1.63984,1.63756,1.63967
2014-01-08T04:00:00Z,1.63967,1.64193,1.63943,1.64158
2014-01-08T08:00:00Z,1.64158,1.64301,1.64076,1.64223
2014-01-08T12:00:00Z,1.64223,1.64713,1.63987,1.64693
2014-01-08T16:00:00Z,1.64693,1.64695,1.64349,1.64474
2014-01-08T20:00:00Z,1.64474,1.64586,1.64403,1.64438
2014-01-09T00:00:00Z,1.64438,1.64603,1.64403,1.64534
2014-01-09T04:00:00Z,1.64534,1.64759,1.64438,1.64746
2014-01-09T08:00:00Z,1.64746,1.64787,1.64453,1.6451
2014-01-09T12:00:00Z,1.6451,1.64965,1.64502,1.64626
2014-01-09T16:00:00Z,1.64626,1.64724,1.64521,1.64705
2014-01-09T20:00:00Z,1.64705,1.64865,1.64662,1.6476
2014-01-10T00:00:00Z,1.6476,1.64806,1.64723,1.64788
2014-01-10T04:00:00Z,1.64788,1.64813,1.64666,1.64706
2014-01-10T08:00:00Z,1.64706,1.64719,1.64016,1.64212
2014-01-10T12:00:00Z,1.64212,1.65163,1.638,1.64834
2014-01-10T16:00:00Z,1.64834,1.64889,1.64561,1.64723
2014-01-10T20:00:00Z,1.64723,1.64943,1.64679,1.64931
2014-01-13T00:00:00Z,1.64931,1.65053,1.64804,1.65045
2014-01-13T04:00:00Z,1.65045,1.65073,1.64775,1.648
2014-01-13T08:00:00Z,1.648,1.64873,1.64213,1.64463
2014-01-13T12:00:00Z,1.64463,1.64471,1.63459,1.63813
2014-01-13T16:00:00Z,1.63813,1.63893,1.63579,1.63888
2014-01-13T20:00:00Z,1.63888,1.63954,1.63794,1.63879
2014-01-14T00:00:00Z,1.63879,1.63983,1.63823,1.63831
2014-01-14T04:00:00Z,1.63831,1.63974,1.63665,1.6393
2014-01-14T08:00:00Z,1.6393,1.64469,1.6391,1.64254
2014-01-14T12:00:00Z,1.64254,1.64635,1.64073,1.64596
2014-01-14T16:00:00Z,1.64596,1.6461,1.64335,1.64338
2014-01-14T20:00:00Z,1.64338,1.64473,1.64298,1.64317
2014-01-15T00:00:00Z,1.64317,1.64373,1.64109,1.64195
2014-01-15T04:00:00Z,1.64195,1.64253,1.63949,1.64103
2014-01-15T08:00:00Z,1.64103,1.64366,1.63761,1.64214
2014-01-15T12:00:00Z,1.64214,1.64266,1.63215,1.63498
2014-01-15T16:00:00Z,1.63498,1.63783,1.63462,1.63673
2014-01-15T20:00:00Z,1.63673,1.63772,1.63579,1.636
2014-01-16T00:00:00Z,1.636,1.63733,1.63464,1.63704
2014-01-16T04:00:00Z,1.63704,1.63723,1.6338,1.63453
2014-01-16T08:00:00Z,1.63453,1.63559,1.63139,1.63336
2014-01-16T12:00:00Z,1.63336,1.63824,1.6327,1.63431
2014-01-16T16:00:00Z,1.63431,1.63633,1.63208,1.63559
2014-01-16T20:00:00Z,1.63559,1.63623,1.63433,1.63457
2014-01-17T00:00:00Z,1.63457,1.63497,1.63235,1.63421
2014-01-17T04:00:00Z,1.63421,1.63423,1.63164,1.6324
2014-01-17T08:00:00Z,1.6324,1.64576,1.63084,1.64403
2014-01-17T12:00:00Z,1.64403,1.64573,1.64269,1.64433
2014-01-17T16:00:00Z,1.64433,1.64514,1.64023,1.64195
2014-01-17T20:00:00Z,1.64195,1.64243,1.64051,1.6417
2014-01-20T00:00:00Z,1.6417,1.64215,1.63944,1.64116
2014-01-20T04:00:00Z,1.64116,1.64294,1.64077,1.64223
2014-01-20T08:00:00Z,1.64223,1.64513,1.64219,1.64348
2014-01-20T12:00:00Z,1.64348,1.64498,1.64165,1.64204
2014-01-20T16:00:00Z,1.64204,1.64353,1.64146,1.64329
2014-01-20T20:00:00Z,1.64329,1.64376,1.6415,1.64247
2014-01-21T00:00:00Z,1.64247,1.64323,1.64103,1.64267
2014-01-21T04:00:00Z,1.64267,1.64454,1.64224,1.64311
2014-01-21T08:00:00Z,1.64311,1.64518,1.64061,1.64159
2014-01-21T12:00:00Z,1.64159,1.64847,1.63986,1.64634
2014-01-21T16:00:00Z,1.64634,1.64834,1.64593,1.64765
2014-01-21T20:00:00Z,1.64765,1.64793,1.64698,1.6473
2014-01-22T00:00:00Z,1.6473,1.64904,1.64691,1.64821
2014-01-22T04:00:00Z,1.64821,1.64833,1.64603,1.64653
2014-01-22T08:00:00Z,1.64653,1.65653,1.64494,1.65475
2014-01-22T12:00:00Z,1.65475,1.65863,1.65387,1.65823
2014-01-22T16:00:00Z,1.65823,1.65856,1.65629,1.65754
2014-01-22T20:00:00Z,1.65754,1.65804,1.65564,1.65608
2014-01-23T00:00:00Z,1.65608,1.65763,1.6556,1.65635
2014-01-23T04:00:00Z,1.65635,1.65837,1.6557,1.65804
2014-01-23T08:00:00Z,1.65804,1.66155,1.65799,1.65953
2014-01-23T12:00:00Z,1.65953,1.66352,1.65909,1.66286
2014-01-23T16:00:00Z,1.66286,1.66325,1.66009,1.66276
2014-01-23T20:00:00Z,1.66276,1.66423,1.66215,1.66308
2014-01-24T00:00:00Z,1.66308,1.66363,1.6621,1.66351
2014-01-24T04:00:00Z,1.66351,1.66593,1.66196,1.66482
2014-01-24T08:00:00Z,1.66482,1.66676,1.65834,1.66113
2014-01-24T12:00:00Z,1.66113,1.66157,1.64786,1.65006
2014-01-24T16:00:00Z,1.65006,1.65093,1.64786,1.65062
2014-01-24T20:00:00Z,1.65062,1.65073,1.64728,1.64913
2014-01-27T00:00:00Z,1.64913,1.65034,1.64779,1.65
2014-01-27T04:00:00Z,1.65,1.65333,1.64881,1.65256
2014-01-27T08:00:00Z,1.65256,1.65695,1.65067,1.65612
2014-01-27T12:00:00Z,1.65612,1.65863,1.65438,1.65719
2014-01-27T16:00:00Z,1.65719,1.65863,1.65679,1.65727
2014-01-27T20:00:00Z,1.65727,1.65877,1.65702,1.65725
2014-01-28T00:00:00Z,1.65725,1.66168,1.65693,1.66124
2014-01-28T04:00:00Z,1.66124,1.66243,1.66006,1.66037
2014-01-28T08:00:00Z,1.66037,1.66123,1.6535,1.65635
2014-01-28T12:00:00Z,1.65635,1.66141,1.6558,1.65838
2014-01-28T16:00:00Z,1.65838,1.65897,1.65629,1.65779
2014-01-28T20:00:00Z,1.65779,1.65853,1.65598,1.65665
2014-01-29T00:00:00Z,1.65665,1.65863,1.65641,1.65731
2014-01-29T04:00:00Z,1.65731,1.65934,1.6567,1.65733
2014-01-29T08:00:00Z,1.65733,1.6606,1.65447,1.65563
2014-01-29T12:00:00Z,1.65563,1.65698,1.65247,1.65488
2014-01-29T16:00:00Z,1.65488,1.65898,1.65488,1.65737
2014-01-29T20:00:00Z,1.65737,1.65737,1.65477,1.65565
2014-01-30T00:00:00Z,1.65565,1.65613,1.65487,1.65546
2014-01-30T04:00:00Z,1.65546,1.65633,1.65189,1.65231
2014-01-30T08:00:00Z,1.65231,1.65266,1.6444,1.64867
2014-01-30T12:00:00Z,1.64867,1.65187,1.64683,1.64973
2014-01-30T16:00:00Z,1.64973,1.65023,1.64751,1.64762
2014-01-30T20:00:00Z,1.64762,1.64973,1.64707,1.64957
2014-01-31T00:00:00Z,1.64957,1.64973,1.64736,1.64737
2014-01-31T04:00:00Z,1.64737,1.64853,1.64611,1.64624
2014-01-31T08:00:00Z,1.64624,1.64775,1.64394,1.64588
2014-01-31T12:00:00Z,1.64588,1.64843,1.64264,1.64331
2014-01-31T16:00:00Z,1.64331,1.64653,1.64292,1.64325
2014-01-31T20:00:00Z,1.64325,1.64433,1.6417,1.64362
2014-02-03T00:00:00Z,1.64362,1.64367,1.64195,1.64288
2014-02-03T04:00:00Z,1.64288,1.64346,1.6391,1.63936
2014-02-03T08:00:00Z,1.63936,1.64114,1.63224,1.63323
